ANO,COD_MEDICO,COD_ESPEC,ESPECIALIDAD,COD_DEP,DEPARTAMENTO
2008,91226412,139,CIRUGIA ONCOLOGICA,68,SANTANDER
2008,32311544,147,CIRUGIA PLASTICA ONCOLOGICA,05,ANTIOQUIA
2008,70048242,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,16645787,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,70049734,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,70082495,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,19403078,750,UROLOGIA,11,BOGOTA
2008,10232107,444,NEUROCIRUGIA PEDIATRICA,17,CALDAS
2008,8302507,133,CIRUGIA DE LA MANO,05,ANTIOQUIA
2008,24316804,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8298447,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,91104931,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8682278,22,ANESTESIOLOGIA Y REANIMACION,08,ATLANTICO
2008,3335625,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,5566699,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,33156145,773,INMUNOLOGIA PEDIATRIA,13,BOLIVAR
2008,79231376,138,CIRUGIA MAXILOFACIAL,05,ANTIOQUIA
2008,93364316,130,CIRUGIA CARDIOVASCULAR,73,TOLIMA
2008,7476268,133,CIRUGIA DE LA MANO,05,ANTIOQUIA
2008,8354463,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,71676499,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,71623547,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,19145274,137,CIRUGIA GENERAL,11,BOGOTA
2008,92551172,341,GINECOLOGIA Y OBSTETRICIA,08,ATLANTICO
2008,8311710,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,42881981,200,DERMATOLOGIA,05,ANTIOQUIA
2008,6785814,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,79142582,143,CIRUGIA PLASTICA,11,BOGOTA
2008,8296413,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,70112871,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,16767114,750,UROLOGIA,76,VALLE DEL CAUCA
2008,8314851,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,10242845,521,OTORRINOLARINGOLOGIA,17,CALDAS
2008,3764288,211,CARDIOLOGIA ELECTROFISIOLOGIA,05,ANTIOQUIA
2008,32461798,142,CIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,2428532,344,GINECOLOGIA,05,ANTIOQUIA
2008,14211147,142,CIRUGIA PEDIATRICA,11,BOGOTA
2008,72125436,143,CIRUGIA PLASTICA,08,ATLANTICO
2008,80410519,750,UROLOGIA,76,VALLE DEL CAUCA
2008,91299506,200,DERMATOLOGIA,54,N. DE SANTANDER
2008,24369240,200,DERMATOLOGIA,17,CALDAS
2008,10542874,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,19099033,142,CIRUGIA PEDIATRICA,68,SANTANDER
2008,3744649,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,9036749,139,CIRUGIA ONCOLOGICA,08,ATLANTICO
2008,13842185,143,CIRUGIA PLASTICA,68,SANTANDER
2008,24321611,138,CIRUGIA MAXILOFACIAL,17,CALDAS
2008,42870766,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,19296936,143,CIRUGIA PLASTICA,11,BOGOTA
2008,8298422,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,70057957,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,15925134,137,CIRUGIA GENERAL,66,RISARALDA
2008,66766069,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,70073729,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,79155631,137,CIRUGIA GENERAL,11,BOGOTA
2008,79577477,133,CIRUGIA DE LA MANO,11,BOGOTA
2008,502869,465,VASCULAR PERIFERICO,05,ANTIOQUIA
2008,6078375,444,NEUROCIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,16236672,200,DERMATOLOGIA,05,ANTIOQUIA
2008,3194894,750,UROLOGIA,05,ANTIOQUIA
2008,9133814,137,CIRUGIA GENERAL,70,SUCRE
2008,13450677,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,71604631,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,70041775,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,2774685,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,16677479,142,CIRUGIA PEDIATRICA,76,VALLE DEL CAUCA
2008,63494320,486,OFTALMOLOGIA Y RETINOLOGIA,17,CALDAS
2008,73121273,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,70108250,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,79368429,480,OFTALMOLOGIA,11,BOGOTA
2008,10262766,137,CIRUGIA GENERAL,17,CALDAS
2008,71608755,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,71729679,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,92496697,775,UROLOGIA PEDIATRICA,13,BOLIVAR
2008,73101677,137,CIRUGIA GENERAL,13,BOLIVAR
2008,71611576,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,38868539,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,79150700,142,CIRUGIA PEDIATRICA,13,BOLIVAR
2008,13463063,143,CIRUGIA PLASTICA,54,N. DE SANTANDER
2008,71658643,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,19261535,137,CIRUGIA GENERAL,11,BOGOTA
2008,8239896,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,70085724,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,79293792,137,CIRUGIA GENERAL,17,CALDAS
2008,8731099,775,UROLOGIA PEDIATRICA,08,ATLANTICO
2008,22579209,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,71578919,200,DERMATOLOGIA,05,ANTIOQUIA
2008,79506160,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,31851791,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,19071821,133,CIRUGIA DE LA MANO,11,BOGOTA
2008,26759488,200,DERMATOLOGIA,20,CESAR
2008,8237954,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,32692249,521,OTORRINOLARINGOLOGIA,08,ATLANTICO
2008,14240228,444,NEUROCIRUGIA PEDIATRICA,73,TOLIMA
2008,71657198,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,31396903,200,DERMATOLOGIA,66,RISARALDA
2008,14877852,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,7532645,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,98546407,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,16695135,133,CIRUGIA DE LA MANO,76,VALLE DEL CAUCA
2008,79235428,514,ORTOPEDIA Y TRAUMATOLOGIA,76,VALLE DEL CAUCA
2008,6505866,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,9089843,514,ORTOPEDIA Y TRAUMATOLOGIA,08,ATLANTICO
2008,16743572,133,CIRUGIA DE LA MANO,76,VALLE DEL CAUCA
2008,16693105,444,NEUROCIRUGIA PEDIATRICA,76,VALLE DEL CAUCA
2008,91265719,133,CIRUGIA DE LA MANO,68,SANTANDER
2008,3307257,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,31839645,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,19474699,444,NEUROCIRUGIA PEDIATRICA,76,VALLE DEL CAUCA
2008,98554526,142,CIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,73104922,200,DERMATOLOGIA,13,BOLIVAR
2008,31898321,341,GINECOLOGIA Y OBSTETRICIA,76,VALLE DEL CAUCA
2008,8693670,514,ORTOPEDIA Y TRAUMATOLOGIA,08,ATLANTICO
2008,9092087,200,DERMATOLOGIA,13,BOLIVAR
2008,12711556,514,ORTOPEDIA Y TRAUMATOLOGIA,08,ATLANTICO
2008,70562573,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,73133886,137,CIRUGIA GENERAL,13,BOLIVAR
2008,71587495,750,UROLOGIA,05,ANTIOQUIA
2008,79506231,212,CUIDADO PALEATIVO Y DOLOR,11,BOGOTA
2008,66764844,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,31151590,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,70113408,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,19359786,137,CIRUGIA GENERAL,50,META
2008,85452949,341,GINECOLOGIA Y OBSTETRICIA,68,SANTANDER
2008,32739477,200,DERMATOLOGIA,08,ATLANTICO
2008,79143616,486,OFTALMOLOGIA Y RETINOLOGIA,11,BOGOTA
2008,5083423,200,DERMATOLOGIA,05,ANTIOQUIA
2008,10248462,465,VASCULAR PERIFERICO,05,ANTIOQUIA
2008,64575356,200,DERMATOLOGIA,70,SUCRE
2008,70083125,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,13235631,200,DERMATOLOGIA,73,TOLIMA
2008,70561719,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8249604,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,10521939,137,CIRUGIA GENERAL,76,VALLE DEL CAUCA
2008,14227468,143,CIRUGIA PLASTICA,76,VALLE DEL CAUCA
2008,16627198,516,ORTOPEDIA Y CIRUGIA ARTROSCOPICA,05,ANTIOQUIA
2008,19143019,137,CIRUGIA GENERAL,23,CORDOBA
2008,19167205,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,19329930,341,GINECOLOGIA Y OBSTETRICIA,11,BOGOTA
2008,77012188,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,13844165,514,ORTOPEDIA Y TRAUMATOLOGIA,68,SANTANDER
2008,98563772,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,79140552,750,UROLOGIA,66,RISARALDA
2008,79230549,142,CIRUGIA PEDIATRICA,11,BOGOTA
2008,43032087,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,8346243,147,CIRUGIA PLASTICA ONCOLOGICA,05,ANTIOQUIA
2008,10892582,750,UROLOGIA,23,CORDOBA
2008,10234203,310,GASTROENTEROLOGIA,66,RISARALDA
2008,8732209,142,CIRUGIA PEDIATRICA,08,ATLANTICO
2008,10106736,514,ORTOPEDIA Y TRAUMATOLOGIA,66,RISARALDA
2008,8691966,143,CIRUGIA PLASTICA,08,ATLANTICO
2008,3741369,750,UROLOGIA,05,ANTIOQUIA
2008,16703728,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,31834941,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,71740911,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,17185147,341,GINECOLOGIA Y OBSTETRICIA,76,VALLE DEL CAUCA
2008,8742876,137,CIRUGIA GENERAL,08,ATLANTICO
2008,42891653,200,DERMATOLOGIA,05,ANTIOQUIA
2008,16693137,750,UROLOGIA,76,VALLE DEL CAUCA
2008,10235347,138,CIRUGIA MAXILOFACIAL,17,CALDAS
2008,70558456,134,CIRUGIA DEL TORAX,05,ANTIOQUIA
2008,31872165,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,70121992,142,CIRUGIA PEDIATRICA,05,ANTIOQUIA
2008,16684725,514,ORTOPEDIA Y TRAUMATOLOGIA,76,VALLE DEL CAUCA
2008,10250389,514,ORTOPEDIA Y TRAUMATOLOGIA,17,CALDAS
2008,70568173,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,79235607,514,ORTOPEDIA Y TRAUMATOLOGIA,66,RISARALDA
2008,8246157,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,84038008,137,CIRUGIA GENERAL,08,ATLANTICO
2008,71624658,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,31165947,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,80412356,133,CIRUGIA DE LA MANO,11,BOGOTA
2008,39686355,200,DERMATOLOGIA,05,ANTIOQUIA
2008,71688257,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,16633182,137,CIRUGIA GENERAL,76,VALLE DEL CAUCA
2008,14969604,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,4326787,130,CIRUGIA CARDIOVASCULAR,05,ANTIOQUIA
2008,8232328,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,91254363,143,CIRUGIA PLASTICA,68,SANTANDER
2008,16609532,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,14883751,750,UROLOGIA,76,VALLE DEL CAUCA
2008,8731441,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,45478880,486,OFTALMOLOGIA Y RETINOLOGIA,13,BOLIVAR
2008,91231451,514,ORTOPEDIA Y TRAUMATOLOGIA,68,SANTANDER
2008,73072496,521,OTORRINOLARINGOLOGIA,13,BOLIVAR
2008,19455879,750,UROLOGIA,66,RISARALDA
2008,71652562,341,GINECOLOGIA Y OBSTETRICIA,05,ANTIOQUIA
2008,10273179,138,CIRUGIA MAXILOFACIAL,17,CALDAS
2008,45434899,200,DERMATOLOGIA,08,ATLANTICO
2008,42868932,200,DERMATOLOGIA,05,ANTIOQUIA
2008,70559878,133,CIRUGIA DE LA MANO,05,ANTIOQUIA
2008,16661565,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,51719146,143,CIRUGIA PLASTICA,11,BOGOTA
2008,17196985,480,OFTALMOLOGIA,73,TOLIMA
2008,7552224,200,DERMATOLOGIA,05,ANTIOQUIA
2008,8313225,130,CIRUGIA CARDIOVASCULAR,05,ANTIOQUIA
2008,10144896,341,GINECOLOGIA Y OBSTETRICIA,66,RISARALDA
2008,71662574,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,43505040,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,21353139,200,DERMATOLOGIA,05,ANTIOQUIA
2008,92500418,160,COLOPROCTOLOGIA,08,ATLANTICO
2008,80503253,200,DERMATOLOGIA,13,BOLIVAR
2008,42966940,200,DERMATOLOGIA,05,ANTIOQUIA
2008,98542751,280,ESTOMATOLOGIA PEDIATRICA,05,ANTIOQUIA
2008,5558517,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,43066435,200,DERMATOLOGIA,05,ANTIOQUIA
2008,3934131,200,DERMATOLOGIA,05,ANTIOQUIA
2008,19120998,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,8242366,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,73075529,480,OFTALMOLOGIA,13,BOLIVAR
2008,6496556,200,DERMATOLOGIA,05,ANTIOQUIA
2008,16660994,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,16604884,750,UROLOGIA,76,VALLE DEL CAUCA
2008,16607090,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,41494895,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,55154846,480,OFTALMOLOGIA,41,HUILA
2008,9079797,750,UROLOGIA,13,BOLIVAR
2008,19291337,200,DERMATOLOGIA,05,ANTIOQUIA
2008,19467385,151,CIRUGIA VASCULAR PERIFERICA,11,BOGOTA
2008,70051144,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,17189819,133,CIRUGIA DE LA MANO,11,BOGOTA
2008,14223044,480,OFTALMOLOGIA,73,TOLIMA
2008,12532588,200,DERMATOLOGIA,05,ANTIOQUIA
2008,19346133,521,OTORRINOLARINGOLOGIA,66,RISARALDA
2008,70120419,341,GINECOLOGIA Y OBSTETRICIA,05,ANTIOQUIA
2008,8301785,138,CIRUGIA MAXILOFACIAL,05,ANTIOQUIA
2008,16688874,139,CIRUGIA ONCOLOGICA,76,VALLE DEL CAUCA
2008,3181349,750,UROLOGIA,05,ANTIOQUIA
2008,24941153,143,CIRUGIA PLASTICA,17,CALDAS
2008,70320334,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,16211499,147,CIRUGIA PLASTICA ONCOLOGICA,76,VALLE DEL CAUCA
2008,14993809,139,CIRUGIA ONCOLOGICA,76,VALLE DEL CAUCA
2008,71632889,341,GINECOLOGIA Y OBSTETRICIA,05,ANTIOQUIA
2008,8302089,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,10244350,521,OTORRINOLARINGOLOGIA,17,CALDAS
2008,14938958,147,CIRUGIA PLASTICA ONCOLOGICA,05,ANTIOQUIA
2008,7542378,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,71602586,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,70115939,120,CARDIOLOGIA,05,ANTIOQUIA
2008,10222069,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,70560405,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,79485642,200,DERMATOLOGIA,11,BOGOTA
2008,4609621,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,70061744,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,13351145,200,DERMATOLOGIA,68,SANTANDER
2008,63317933,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,10249091,200,DERMATOLOGIA,17,CALDAS
2008,30288381,200,DERMATOLOGIA,17,CALDAS
2008,51629397,143,CIRUGIA PLASTICA,11,BOGOTA
2008,12126734,200,DERMATOLOGIA,41,HUILA
2008,79115427,750,UROLOGIA,11,BOGOTA
2008,16665687,750,UROLOGIA,76,VALLE DEL CAUCA
2008,42982995,200,DERMATOLOGIA,05,ANTIOQUIA
2008,3345775,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,32702614,200,DERMATOLOGIA,08,ATLANTICO
2008,8729936,514,ORTOPEDIA Y TRAUMATOLOGIA,08,ATLANTICO
2008,7508529,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,98551957,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,79307971,200,DERMATOLOGIA,68,SANTANDER
2008,10256529,750,UROLOGIA,17,CALDAS
2008,71665339,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,51773561,200,DERMATOLOGIA,68,SANTANDER
2008,13471213,134,CIRUGIA DEL TORAX,11,BOGOTA
2008,16638678,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,8718426,465,VASCULAR PERIFERICO,08,ATLANTICO
2008,70549135,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,13460133,137,CIRUGIA GENERAL,54,N. DE SANTANDER
2008,8699468,142,CIRUGIA PEDIATRICA,08,ATLANTICO
2008,19064334,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,31984399,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,71555630,480,OFTALMOLOGIA,11,BOGOTA
2008,14940602,139,CIRUGIA ONCOLOGICA,76,VALLE DEL CAUCA
2008,78018571,486,OFTALMOLOGIA Y RETINOLOGIA,08,ATLANTICO
2008,73139983,200,DERMATOLOGIA,13,BOLIVAR
2008,73150068,200,DERMATOLOGIA,05,ANTIOQUIA
2008,71635174,200,DERMATOLOGIA,66,RISARALDA
2008,19123287,480,OFTALMOLOGIA,11,BOGOTA
2008,19389006,137,CIRUGIA GENERAL,11,BOGOTA
2008,4003058,200,DERMATOLOGIA,05,ANTIOQUIA
2008,31418638,200,DERMATOLOGIA,76,VALLE DEL CAUCA
2008,43015184,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,16612946,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,14999512,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,52150005,200,DERMATOLOGIA,11,BOGOTA
2008,70555851,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,13807994,137,CIRUGIA GENERAL,68,SANTANDER
2008,71594272,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,70093459,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,8288281,514,ORTOPEDIA Y TRAUMATOLOGIA,63,QUINDIO
2008,73072498,200,DERMATOLOGIA,13,BOLIVAR
2008,16449822,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,31830365,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,71616906,750,UROLOGIA,05,ANTIOQUIA
2008,16585250,341,GINECOLOGIA Y OBSTETRICIA,76,VALLE DEL CAUCA
2008,32659430,200,DERMATOLOGIA,08,ATLANTICO
2008,70072944,137,CIRUGIA GENERAL,05,ANTIOQUIA
2008,42823141,200,DERMATOLOGIA,66,RISARALDA
2008,45505024,200,DERMATOLOGIA,13,BOLIVAR
2008,98547728,341,GINECOLOGIA Y OBSTETRICIA,05,ANTIOQUIA
2008,79158593,480,OFTALMOLOGIA,17,CALDAS
2008,32477453,200,DERMATOLOGIA,05,ANTIOQUIA
2008,3013956,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,19188008,341,GINECOLOGIA Y OBSTETRICIA,08,ATLANTICO
2008,14442260,521,OTORRINOLARINGOLOGIA,76,VALLE DEL CAUCA
2008,45453256,200,DERMATOLOGIA,13,BOLIVAR
2008,98555697,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,12113241,480,OFTALMOLOGIA,41,HUILA
2008,32655979,200,DERMATOLOGIA,20,CESAR
2008,71691545,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,79386863,480,OFTALMOLOGIA,11,BOGOTA
2008,71591428,521,OTORRINOLARINGOLOGIA,05,ANTIOQUIA
2008,17196573,130,CIRUGIA CARDIOVASCULAR,05,ANTIOQUIA
2008,19895049,750,UROLOGIA,70,SUCRE
2008,92497022,750,UROLOGIA,70,SUCRE
2008,79141357,143,CIRUGIA PLASTICA,05,ANTIOQUIA
2008,16671269,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,71695746,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,91245876,137,CIRUGIA GENERAL,68,SANTANDER
2008,70042105,480,OFTALMOLOGIA,05,ANTIOQUIA
2008,19333825,514,ORTOPEDIA Y TRAUMATOLOGIA,54,N. DE SANTANDER
2008,10098597,341,GINECOLOGIA Y OBSTETRICIA,63,QUINDIO
2008,16776528,480,OFTALMOLOGIA,76,VALLE DEL CAUCA
2008,73080476,514,ORTOPEDIA Y TRAUMATOLOGIA,54,N. DE SANTANDER
2008,79155439,750,UROLOGIA,23,CORDOBA
2008,8736572,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,15347848,514,ORTOPEDIA Y TRAUMATOLOGIA,05,ANTIOQUIA
2008,79490734,514,ORTOPEDIA Y TRAUMATOLOGIA,76,VALLE DEL CAUCA
2008,70075536,750,UROLOGIA,05,ANTIOQUIA
2008,66859548,200,DERMATOLOGIA,76,VALLE DEL CAUCA
