index,doc_code,spec_code,spec_es,spec_en,year,n_visits,n_surgeries,n_patients,c_visit,c_surgery,dep_code,department
68,70555851,137,cirugia general,general surgery,2008,14,3,15,25.69,375.5,5,antioquia
69,70061744,137,cirugia general,general surgery,2008,25,6,35,25.69,375.5,5,antioquia
70,70128240,137,cirugia general,general surgery,2008,117,13,102,25.69,375.5,5,antioquia
71,70103039,137,cirugia general,general surgery,2008,296,11,237,25.69,375.5,5,antioquia
72,70095086,137,cirugia general,general surgery,2008,79,7,76,25.69,375.5,5,antioquia
73,70085724,137,cirugia general,general surgery,2008,12,5,24,25.69,375.5,5,antioquia
74,70083125,137,cirugia general,general surgery,2008,15,5,14,25.69,375.5,5,antioquia
75,70074018,137,cirugia general,general surgery,2008,30,5,32,25.69,375.5,5,antioquia
76,70073729,137,cirugia general,general surgery,2008,4,2,5,25.69,375.5,5,antioquia
77,70072944,137,cirugia general,general surgery,2008,24,5,26,25.69,375.5,5,antioquia
78,70049734,137,cirugia general,general surgery,2008,8,6,12,25.69,375.5,5,antioquia
79,70048242,137,cirugia general,general surgery,2008,112,85,239,25.69,375.5,5,antioquia
80,70045824,137,cirugia general,general surgery,2008,15,1,17,25.69,375.5,5,antioquia
81,73133886,137,cirugia general,general surgery,2008,66,23,47,25.69,375.5,13,bolivar
82,70550783,137,cirugia general,general surgery,2008,27,3,36,25.69,375.5,5,antioquia
83,7529349,137,cirugia general,general surgery,2008,81,3,90,25.69,375.5,5,antioquia
84,98546407,137,cirugia general,general surgery,2008,42,16,60,25.69,375.5,5,antioquia
85,79140069,137,cirugia general,general surgery,2008,1,2,10,25.69,375.5,11,bogota
86,6790146,137,cirugia general,general surgery,2008,21,1,22,25.69,375.5,5,antioquia
87,98541749,137,cirugia general,general surgery,2008,79,5,70,25.69,375.5,5,antioquia
88,9133814,137,cirugia general,general surgery,2008,2,1,4,25.69,375.5,70,sucre
89,91245876,137,cirugia general,general surgery,2008,15,3,17,25.69,375.5,68,santander
90,91232149,137,cirugia general,general surgery,2008,6,1,6,25.69,375.5,68,santander
91,9082029,137,cirugia general,general surgery,2008,12,1,13,25.69,375.5,23,cordoba
92,9066153,137,cirugia general,general surgery,2008,6,1,6,25.69,375.5,13,bolivar
93,9065569,137,cirugia general,general surgery,2008,174,9,147,25.69,375.5,13,bolivar
94,8742876,137,cirugia general,general surgery,2008,3,1,8,25.69,375.5,8,atlantico
95,8736321,137,cirugia general,general surgery,2008,28,2,32,25.69,375.5,8,atlantico
96,8683317,137,cirugia general,general surgery,2008,92,15,83,25.69,375.5,8,atlantico
97,84038008,137,cirugia general,general surgery,2008,13,4,26,25.69,375.5,8,atlantico
98,78689767,137,cirugia general,general surgery,2008,33,2,42,25.69,375.5,23,cordoba
99,8354463,137,cirugia general,general surgery,2008,3,2,16,25.69,375.5,5,antioquia
100,8305612,137,cirugia general,general surgery,2008,26,2,32,25.69,375.5,5,antioquia
101,8298422,137,cirugia general,general surgery,2008,10,5,12,25.69,375.5,5,antioquia
102,8274156,137,cirugia general,general surgery,2008,139,27,112,25.69,375.5,5,antioquia
103,8266232,137,cirugia general,general surgery,2008,48,8,46,25.69,375.5,5,antioquia
104,8246157,137,cirugia general,general surgery,2008,13,4,19,25.69,375.5,5,antioquia
105,8239896,137,cirugia general,general surgery,2008,12,5,20,25.69,375.5,5,antioquia
106,79487398,137,cirugia general,general surgery,2008,9,1,9,25.69,375.5,11,bogota
107,79293792,137,cirugia general,general surgery,2008,58,24,48,25.69,375.5,17,caldas
108,79155631,137,cirugia general,general surgery,2008,6,3,8,25.69,375.5,11,bogota
109,79150331,137,cirugia general,general surgery,2008,59,2,38,25.69,375.5,11,bogota
110,79149417,137,cirugia general,general surgery,2008,55,2,40,25.69,375.5,11,bogota
111,79148015,137,cirugia general,general surgery,2008,56,3,51,25.69,375.5,11,bogota
112,8312111,137,cirugia general,general surgery,2008,44,3,75,25.69,375.5,5,antioquia
113,6452790,137,cirugia general,general surgery,2008,38,2,27,25.69,375.5,5,antioquia
114,3324200,137,cirugia general,general surgery,2008,71,2,55,25.69,375.5,5,antioquia
115,6090580,137,cirugia general,general surgery,2008,33,1,34,25.69,375.5,5,antioquia
116,17028877,137,cirugia general,general surgery,2008,86,2,83,25.69,375.5,5,antioquia
117,16693809,137,cirugia general,general surgery,2008,2,2,5,25.69,375.5,5,antioquia
118,16690666,137,cirugia general,general surgery,2008,37,3,39,25.69,375.5,76,valle del cauca
119,16673119,137,cirugia general,general surgery,2008,11,2,14,25.69,375.5,76,valle del cauca
120,16670594,137,cirugia general,general surgery,2008,37,3,39,25.69,375.5,76,valle del cauca
121,16633182,137,cirugia general,general surgery,2008,7,2,7,25.69,375.5,76,valle del cauca
122,16623709,137,cirugia general,general surgery,2008,57,4,71,25.69,375.5,5,antioquia
123,16606517,137,cirugia general,general surgery,2008,82,7,63,25.69,375.5,76,valle del cauca
124,16606274,137,cirugia general,general surgery,2008,57,10,66,25.69,375.5,76,valle del cauca
125,6186538,137,cirugia general,general surgery,2008,44,3,35,25.69,375.5,5,antioquia
126,16355013,137,cirugia general,general surgery,2008,44,4,67,25.69,375.5,76,valle del cauca
127,15925134,137,cirugia general,general surgery,2008,8,4,10,25.69,375.5,66,risaralda
128,17051313,137,cirugia general,general surgery,2008,17,1,9,25.69,375.5,11,bogota
129,158845,137,cirugia general,general surgery,2008,7,10,5,25.69,375.5,5,antioquia
130,13807994,137,cirugia general,general surgery,2008,14,3,16,25.69,375.5,68,santander
131,13460133,137,cirugia general,general surgery,2008,9,2,12,25.69,375.5,54,n. de santander
132,13439059,137,cirugia general,general surgery,2008,41,4,36,25.69,375.5,54,n. de santander
133,13255619,137,cirugia general,general surgery,2008,29,2,31,25.69,375.5,54,n. de santander
134,12547671,137,cirugia general,general surgery,2008,6,1,5,25.69,375.5,47,magdalena
135,1250991,137,cirugia general,general surgery,2008,25,2,24,25.69,375.5,5,antioquia
136,10521939,137,cirugia general,general surgery,2008,3,1,3,25.69,375.5,76,valle del cauca
137,10262766,137,cirugia general,general surgery,2008,9,4,19,25.69,375.5,17,caldas
138,10251566,137,cirugia general,general surgery,2008,37,3,65,25.69,375.5,17,caldas
139,10222990,137,cirugia general,general surgery,2008,4,5,5,25.69,375.5,63,quindio
140,10215405,137,cirugia general,general surgery,2008,14,2,14,25.69,375.5,17,caldas
141,10069460,137,cirugia general,general surgery,2008,36,2,29,25.69,375.5,66,risaralda
142,14227764,137,cirugia general,general surgery,2008,31,3,31,25.69,375.5,73,tolima
143,19064334,137,cirugia general,general surgery,2008,9,2,34,25.69,375.5,5,antioquia
144,16450997,137,cirugia general,general surgery,2008,18,2,19,25.69,375.5,76,valle del cauca
145,19145274,137,cirugia general,general surgery,2008,8,5,14,25.69,375.5,11,bogota
146,6034654,137,cirugia general,general surgery,2008,43,3,27,25.69,375.5,5,antioquia
147,19143019,137,cirugia general,general surgery,2008,3,1,3,25.69,375.5,23,cordoba
148,4607558,137,cirugia general,general surgery,2008,69,5,61,25.69,375.5,5,antioquia
149,4577627,137,cirugia general,general surgery,2008,1,1,3,25.69,375.5,5,antioquia
150,45466150,137,cirugia general,general surgery,2008,2,3,3,25.69,375.5,70,sucre
151,4469997,137,cirugia general,general surgery,2008,30,2,26,25.69,375.5,5,antioquia
152,438123,137,cirugia general,general surgery,2008,59,1,34,25.69,375.5,5,antioquia
153,43032087,137,cirugia general,general surgery,2008,9,3,10,25.69,375.5,5,antioquia
154,42986891,137,cirugia general,general surgery,2008,93,5,56,25.69,375.5,5,antioquia
155,38425,137,cirugia general,general surgery,2008,52,4,42,25.69,375.5,5,antioquia
156,3764285,137,cirugia general,general surgery,2008,1,1,1,25.69,375.5,5,antioquia
157,3744649,137,cirugia general,general surgery,2008,2,1,2,25.69,375.5,5,antioquia
158,3310975,137,cirugia general,general surgery,2008,56,7,39,25.69,375.5,5,antioquia
159,5566699,137,cirugia general,general surgery,2008,3,2,4,25.69,375.5,5,antioquia
160,19389006,137,cirugia general,general surgery,2008,23,5,22,25.69,375.5,11,bogota
161,32542347,137,cirugia general,general surgery,2008,18,2,23,25.69,375.5,5,antioquia
162,3229856,137,cirugia general,general surgery,2008,2,2,2,25.69,375.5,5,antioquia
163,31263501,137,cirugia general,general surgery,2008,11,2,14,25.69,375.5,76,valle del cauca
164,31236793,137,cirugia general,general surgery,2008,11,2,10,25.69,375.5,76,valle del cauca
165,19489973,137,cirugia general,general surgery,2008,9,1,17,25.69,375.5,54,n. de santander
166,19460491,137,cirugia general,general surgery,2008,62,3,54,25.69,375.5,76,valle del cauca
167,19456386,137,cirugia general,general surgery,2008,43,3,42,25.69,375.5,76,valle del cauca
168,3310961,137,cirugia general,general surgery,2008,25,3,26,25.69,375.5,5,antioquia
169,19359786,137,cirugia general,general surgery,2008,6,2,3,25.69,375.5,50,meta
170,19265995,137,cirugia general,general surgery,2008,28,2,29,25.69,375.5,5,antioquia
171,19261535,137,cirugia general,general surgery,2008,12,5,18,25.69,375.5,11,bogota
172,19225332,137,cirugia general,general surgery,2008,69,8,45,25.69,375.5,11,bogota
173,80407880,138,cirugia maxilofacial,maxillofacial surgery,2008,9,1,7,26.37,339.04,5,antioquia
174,79231376,138,cirugia maxilofacial,maxillofacial surgery,2008,3,2,4,26.37,339.04,5,antioquia
175,8301785,138,cirugia maxilofacial,maxillofacial surgery,2008,20,5,22,26.37,339.04,5,antioquia
176,79145085,138,cirugia maxilofacial,maxillofacial surgery,2008,13,2,14,26.37,339.04,8,atlantico
177,32707732,138,cirugia maxilofacial,maxillofacial surgery,2008,51,2,34,26.37,339.04,11,bogota
178,24321611,138,cirugia maxilofacial,maxillofacial surgery,2008,2,1,2,26.37,339.04,17,caldas
179,19247333,138,cirugia maxilofacial,maxillofacial surgery,2008,171,7,136,26.37,339.04,11,bogota
180,10273179,138,cirugia maxilofacial,maxillofacial surgery,2008,18,5,21,26.37,339.04,17,caldas
181,10235347,138,cirugia maxilofacial,maxillofacial surgery,2008,37,12,37,26.37,339.04,17,caldas
182,14940602,139,cirugia oncologica,oncologic surgery,2008,77,17,55,25.55,261.32,76,valle del cauca
183,14993809,139,cirugia oncologica,oncologic surgery,2008,8,2,10,25.55,261.32,76,valle del cauca
184,16615137,139,cirugia oncologica,oncologic surgery,2008,192,26,139,25.55,261.32,76,valle del cauca
185,16688874,139,cirugia oncologica,oncologic surgery,2008,16,4,18,25.55,261.32,76,valle del cauca
186,73146094,139,cirugia oncologica,oncologic surgery,2008,87,11,72,25.55,261.32,5,antioquia
187,8723059,139,cirugia oncologica,oncologic surgery,2008,1,2,2,25.55,261.32,5,antioquia
188,9036749,139,cirugia oncologica,oncologic surgery,2008,2,1,2,25.55,261.32,8,atlantico
189,91226412,139,cirugia oncologica,oncologic surgery,2008,9,7,9,25.55,261.32,68,santander
190,70121992,142,cirugia pediatrica,pediatric surgery,2008,113,36,113,21.83,314.07,5,antioquia
191,71651913,142,cirugia pediatrica,pediatric surgery,2008,1,1,2,21.83,314.07,5,antioquia
192,79150700,142,cirugia pediatrica,pediatric surgery,2008,12,5,10,21.83,314.07,13,bolivar
193,6891195,142,cirugia pediatrica,pediatric surgery,2008,7,1,6,21.83,314.07,5,antioquia
194,8699468,142,cirugia pediatrica,pediatric surgery,2008,9,2,13,21.83,314.07,8,atlantico
195,8732209,142,cirugia pediatrica,pediatric surgery,2008,12,4,15,21.83,314.07,8,atlantico
196,98554526,142,cirugia pediatrica,pediatric surgery,2008,80,29,96,21.83,314.07,5,antioquia
197,79230549,142,cirugia pediatrica,pediatric surgery,2008,12,4,13,21.83,314.07,11,bogota
198,3781855,142,cirugia pediatrica,pediatric surgery,2008,25,1,16,21.83,314.07,5,antioquia
199,19099033,142,cirugia pediatrica,pediatric surgery,2008,4,2,4,21.83,314.07,68,santander
200,32461798,142,cirugia pediatrica,pediatric surgery,2008,14,8,25,21.83,314.07,5,antioquia
201,19204701,142,cirugia pediatrica,pediatric surgery,2008,14,1,11,21.83,314.07,66,risaralda
202,3348213,142,cirugia pediatrica,pediatric surgery,2008,31,27,45,21.83,314.07,5,antioquia
203,16677479,142,cirugia pediatrica,pediatric surgery,2008,55,25,50,21.83,314.07,76,valle del cauca
204,16619977,142,cirugia pediatrica,pediatric surgery,2008,11,15,15,21.83,314.07,76,valle del cauca
205,16276096,142,cirugia pediatrica,pediatric surgery,2008,7,6,12,21.83,314.07,76,valle del cauca
206,16262630,142,cirugia pediatrica,pediatric surgery,2008,1,2,2,21.83,314.07,76,valle del cauca
207,14211147,142,cirugia pediatrica,pediatric surgery,2008,11,6,15,21.83,314.07,11,bogota
208,12118036,142,cirugia pediatrica,pediatric surgery,2008,1,1,1,21.83,314.07,41,huila
209,10118459,142,cirugia pediatrica,pediatric surgery,2008,2,3,2,21.83,314.07,5,antioquia
210,79141357,143,cirugia plastica,plastic surgery,2008,10,2,11,22.33,330.83,5,antioquia
211,7444894,143,cirugia plastica,plastic surgery,2008,17,15,17,22.33,330.83,5,antioquia
212,73070548,143,cirugia plastica,plastic surgery,2008,15,2,14,22.33,330.83,13,bolivar
213,72140291,143,cirugia plastica,plastic surgery,2008,23,27,44,22.33,330.83,8,atlantico
214,72125436,143,cirugia plastica,plastic surgery,2008,13,7,14,22.33,330.83,8,atlantico
215,70556557,143,cirugia plastica,plastic surgery,2008,3,4,6,22.33,330.83,5,antioquia
216,71660739,143,cirugia plastica,plastic surgery,2008,5,4,7,22.33,330.83,5,antioquia
217,71624658,143,cirugia plastica,plastic surgery,2008,33,10,35,22.33,330.83,5,antioquia
218,70561719,143,cirugia plastica,plastic surgery,2008,33,11,32,22.33,330.83,5,antioquia
219,79142582,143,cirugia plastica,plastic surgery,2008,5,3,5,22.33,330.83,11,bogota
220,70549135,143,cirugia plastica,plastic surgery,2008,18,4,20,22.33,330.83,5,antioquia
221,71662574,143,cirugia plastica,plastic surgery,2008,11,3,13,22.33,330.83,5,antioquia
222,79370326,143,cirugia plastica,plastic surgery,2008,26,3,18,22.33,330.83,11,bogota
223,8303862,143,cirugia plastica,plastic surgery,2008,53,8,57,22.33,330.83,5,antioquia
224,8242366,143,cirugia plastica,plastic surgery,2008,31,8,31,22.33,330.83,5,antioquia
225,8246121,143,cirugia plastica,plastic surgery,2008,1,1,2,22.33,330.83,5,antioquia
226,8296413,143,cirugia plastica,plastic surgery,2008,5,3,6,22.33,330.83,5,antioquia
227,70320334,143,cirugia plastica,plastic surgery,2008,32,8,39,22.33,330.83,5,antioquia
228,8670462,143,cirugia plastica,plastic surgery,2008,3,4,6,22.33,330.83,8,atlantico
229,8671948,143,cirugia plastica,plastic surgery,2008,33,5,33,22.33,330.83,5,antioquia
230,8684053,143,cirugia plastica,plastic surgery,2008,1,1,2,22.33,330.83,8,atlantico
231,8691966,143,cirugia plastica,plastic surgery,2008,12,4,16,22.33,330.83,8,atlantico
232,91104931,143,cirugia plastica,plastic surgery,2008,3,2,2,22.33,330.83,5,antioquia
233,91254363,143,cirugia plastica,plastic surgery,2008,7,2,8,22.33,330.83,68,santander
234,9264129,143,cirugia plastica,plastic surgery,2008,1,1,1,22.33,330.83,5,antioquia
235,98563772,143,cirugia plastica,plastic surgery,2008,24,8,25,22.33,330.83,5,antioquia
236,8238419,143,cirugia plastica,plastic surgery,2008,12,10,15,22.33,330.83,5,antioquia
237,70113408,143,cirugia plastica,plastic surgery,2008,12,4,6,22.33,330.83,5,antioquia
238,71642098,143,cirugia plastica,plastic surgery,2008,14,1,15,22.33,330.83,5,antioquia
239,70103704,143,cirugia plastica,plastic surgery,2008,12,2,11,22.33,330.83,5,antioquia
240,10268929,143,cirugia plastica,plastic surgery,2008,18,3,19,22.33,330.83,5,antioquia
241,10289625,143,cirugia plastica,plastic surgery,2008,2,3,5,22.33,330.83,17,caldas
242,120050,143,cirugia plastica,plastic surgery,2008,2,5,5,22.33,330.83,5,antioquia
243,12138930,143,cirugia plastica,plastic surgery,2008,1,1,1,22.33,330.83,5,antioquia
244,70112871,143,cirugia plastica,plastic surgery,2008,12,7,16,22.33,330.83,5,antioquia
245,13463063,143,cirugia plastica,plastic surgery,2008,12,5,15,22.33,330.83,54,n. de santander
246,13842185,143,cirugia plastica,plastic surgery,2008,2,1,2,22.33,330.83,68,santander
247,14227468,143,cirugia plastica,plastic surgery,2008,3,1,3,22.33,330.83,76,valle del cauca
248,16720237,143,cirugia plastica,plastic surgery,2008,6,1,5,22.33,330.83,5,antioquia
249,19120998,143,cirugia plastica,plastic surgery,2008,27,7,28,22.33,330.83,5,antioquia
250,19167205,143,cirugia plastica,plastic surgery,2008,3,1,3,22.33,330.83,5,antioquia
251,19296936,143,cirugia plastica,plastic surgery,2008,6,3,7,22.33,330.83,11,bogota
252,19490904,143,cirugia plastica,plastic surgery,2008,4,6,6,22.33,330.83,8,atlantico
253,19588245,143,cirugia plastica,plastic surgery,2008,6,1,9,22.33,330.83,8,atlantico
254,13243877,143,cirugia plastica,plastic surgery,2008,30,1,29,22.33,330.83,54,n. de santander
255,24941153,143,cirugia plastica,plastic surgery,2008,8,2,9,22.33,330.83,17,caldas
256,66809876,143,cirugia plastica,plastic surgery,2008,5,5,11,22.33,330.83,76,valle del cauca
257,51719146,143,cirugia plastica,plastic surgery,2008,11,3,9,22.33,330.83,11,bogota
258,51629397,143,cirugia plastica,plastic surgery,2008,17,4,17,22.33,330.83,11,bogota
259,43084575,143,cirugia plastica,plastic surgery,2008,8,20,22,22.33,330.83,5,antioquia
260,43027842,143,cirugia plastica,plastic surgery,2008,38,5,27,22.33,330.83,5,antioquia
261,70057957,143,cirugia plastica,plastic surgery,2008,12,6,15,22.33,330.83,5,antioquia
262,42870766,143,cirugia plastica,plastic surgery,2008,2,1,2,22.33,330.83,5,antioquia
263,3335625,143,cirugia plastica,plastic surgery,2008,9,6,11,22.33,330.83,5,antioquia
264,3307257,143,cirugia plastica,plastic surgery,2008,11,4,12,22.33,330.83,5,antioquia
265,31937960,143,cirugia plastica,plastic surgery,2008,2,3,1,22.33,330.83,5,antioquia
266,31834941,143,cirugia plastica,plastic surgery,2008,3,1,4,22.33,330.83,5,antioquia
267,43002370,143,cirugia plastica,plastic surgery,2008,21,3,23,22.33,330.83,5,antioquia
268,24316804,143,cirugia plastica,plastic surgery,2008,10,7,14,22.33,330.83,5,antioquia
269,79464694,147,cirugia plastica oncologica,oncological plastic surgery,2008,3,6,7,20.95,328.2,8,atlantico
270,8346243,147,cirugia plastica oncologica,oncological plastic surgery,2008,18,6,21,20.95,328.2,5,antioquia
271,79488386,147,cirugia plastica oncologica,oncological plastic surgery,2008,6,9,14,20.95,328.2,5,antioquia
272,70033556,147,cirugia plastica oncologica,oncological plastic surgery,2008,25,3,24,20.95,328.2,5,antioquia
273,16655249,147,cirugia plastica oncologica,oncological plastic surgery,2008,46,2,47,20.95,328.2,5,antioquia
274,16211499,147,cirugia plastica oncologica,oncological plastic surgery,2008,12,3,15,20.95,328.2,76,valle del cauca
275,14938958,147,cirugia plastica oncologica,oncological plastic surgery,2008,4,1,5,20.95,328.2,5,antioquia
276,32311544,147,cirugia plastica oncologica,oncological plastic surgery,2008,22,17,28,20.95,328.2,5,antioquia
277,30563506,151,cirugia vascular periferica,peripheral vascular surgery,2008,61,7,54,22.27,1215.43,76,valle del cauca
278,19467385,151,cirugia vascular periferica,peripheral vascular surgery,2008,8,2,7,22.27,1215.43,11,bogota
279,7542101,151,cirugia vascular periferica,peripheral vascular surgery,2008,41,7,37,22.27,1215.43,5,antioquia
280,16646222,151,cirugia vascular periferica,peripheral vascular surgery,2008,8,1,7,22.27,1215.43,5,antioquia
281,14952822,151,cirugia vascular periferica,peripheral vascular surgery,2008,104,11,95,22.27,1215.43,76,valle del cauca
282,19145010,151,cirugia vascular periferica,peripheral vascular surgery,2008,24,3,20,22.27,1215.43,11,bogota
283,8729552,152,cirugia de columna,colunm surgery,2008,32,1,27,31.73,961.88,8,atlantico
284,79147207,152,cirugia de columna,colunm surgery,2008,86,1,51,31.73,961.88,11,bogota
285,19270629,152,cirugia de columna,colunm surgery,2008,25,1,18,31.73,961.88,11,bogota
286,19244859,152,cirugia de columna,colunm surgery,2008,70,3,32,31.73,961.88,11,bogota
287,70115364,160,coloproctologia,coloproctology,2008,454,17,320,25.89,356.35,5,antioquia
288,79142637,160,coloproctologia,coloproctology,2008,61,7,49,25.89,356.35,11,bogota
289,70569916,160,coloproctologia,coloproctology,2008,155,24,143,25.89,356.35,5,antioquia
290,19089830,160,coloproctologia,coloproctology,2008,60,9,45,25.89,356.35,11,bogota
291,92500418,160,coloproctologia,coloproctology,2008,30,8,22,25.89,356.35,8,atlantico
292,160236,160,coloproctologia,coloproctology,2008,6,1,6,25.89,356.35,5,antioquia
293,17025187,160,coloproctologia,coloproctology,2008,54,7,48,25.89,356.35,11,bogota
294,10255761,160,coloproctologia,coloproctology,2008,74,9,64,25.89,356.35,76,valle del cauca
